,close,datetime,high,low,open,volume,sma_10,sma_30,sma_100,bsh
376,236.955,2020-02-19 20:46:00,237.0,236.94,236.995,49044,236.96899999999997,237.05785000000006,237.20368,hold
377,236.96,2020-02-19 20:47:00,236.985,236.92,236.95,60375,236.97099999999995,237.05218333333337,237.20048,hold
378,236.94,2020-02-19 20:48:00,237.0,236.92,236.9657,86356,236.97449999999995,237.04418333333336,237.19717999999997,hold
379,236.85,2020-02-19 20:49:00,236.96,236.815,236.94,108545,236.96849999999995,237.0329166666667,237.19277999999994,hold
380,236.7898,2020-02-19 20:50:00,236.87,236.76,236.86,181504,236.95147999999995,237.01967666666673,237.18837799999994,hold
381,236.84,2020-02-19 20:51:00,236.87,236.78,236.79,93190,236.93447999999998,237.0096766666667,237.18432799999994,hold
382,236.94,2020-02-19 20:52:00,236.94,236.805,236.84,75340,236.92748,237.00226000000004,237.18132799999992,hold
383,236.98,2020-02-19 20:53:00,236.99,236.9,236.94,99565,236.92298,236.9979266666667,237.17862799999992,hold
384,237.055,2020-02-19 20:54:00,237.07,236.94,236.98,152403,236.93048,236.99407000000005,237.17664499999992,hold
385,237.0,2020-02-19 20:55:00,237.06,236.9801,237.04,121452,236.93098,236.98907000000005,237.1735809999999,hold
386,237.08,2020-02-19 20:56:00,237.09,236.995,237.0,155585,236.94348,236.98757000000006,237.1712809999999,hold
387,237.07,2020-02-19 20:57:00,237.12,237.041,237.075,173175,236.95448000000002,236.98590333333337,237.16888099999989,hold
388,237.07,2020-02-19 20:58:00,237.08,237.05,237.06,312516,236.96748000000002,236.98490333333336,237.16648099999986,hold
389,236.99,2020-02-19 20:59:00,237.07,236.97,237.06,293366,236.98148000000006,236.98123666666666,237.1635889999999,hold
390,236.57,2020-02-20 14:30:00,236.59,236.3232,236.46,307174,236.95950000000008,236.96390333333332,237.1569889999999,hold
391,236.66,2020-02-20 14:31:00,236.74,236.59,236.59,112186,236.94150000000005,236.94965999999997,237.1508889999999,hold
392,236.7,2020-02-20 14:32:00,236.79,236.6,236.65,71859,236.91750000000002,236.9349933333333,237.1452889999999,hold
393,236.7,2020-02-20 14:33:00,236.79,236.68,236.7,113830,236.8895,236.9233266666666,237.1400179999999,hold
394,236.69,2020-02-20 14:34:00,236.75,236.5,236.691,73276,236.853,236.9143266666666,237.1344179999999,hold
395,236.545,2020-02-20 14:35:00,236.7,236.51,236.7,90334,236.80750000000003,236.90149333333326,237.12754499999988,hold
396,236.19,2020-02-20 14:36:00,236.57,236.17,236.5494,81925,236.71850000000003,236.87699333333325,237.11709099999985,hold
397,236.35,2020-02-20 14:37:00,236.37,236.0,236.16,166403,236.6465,236.8573266666666,237.10801099999983,hold
398,236.266,2020-02-20 14:38:00,236.39,236.19,236.34,44761,236.5661,236.83602666666658,237.09807099999983,hold
399,236.36,2020-02-20 14:39:00,236.3699,236.1,236.25,69015,236.5031,236.81769333333327,237.08907099999985,hold
400,236.3,2020-02-20 14:40:00,236.46,236.25,236.38,65247,236.4761,236.79569333333328,237.07919099999984,hold
401,236.2397,2020-02-20 14:41:00,236.33,236.19,236.2888,53098,236.43407000000002,236.77001666666658,237.06878799999984,hold
402,236.31,2020-02-20 14:42:00,236.41,236.2295,236.23,75231,236.39507000000003,236.74668333333327,237.05923699999985,hold
403,236.36,2020-02-20 14:43:00,236.36,236.23,236.32,34692,236.36107000000007,236.7245166666666,237.05023699999987,hold
404,236.3,2020-02-20 14:44:00,236.45,236.28,236.35,65501,236.32207000000008,236.70184999999995,237.0406369999999,hold
405,236.24,2020-02-20 14:45:00,236.32,236.17,236.28,79841,236.29157000000004,236.67668333333327,237.03043699999992,hold
406,236.21,2020-02-20 14:46:00,236.27,236.17,236.25,51067,236.29357000000005,236.65184999999994,237.0196369999999,hold
407,236.31,2020-02-20 14:47:00,236.34,236.18,236.215,100843,236.28957000000005,236.6301833333333,237.0098369999999,hold
408,236.335,2020-02-20 14:48:00,236.37,236.24,236.32,31996,236.29647000000006,236.61001666666664,237.0001869999999,hold
409,236.34,2020-02-20 14:49:00,236.36,236.27,236.324,42072,236.29447000000005,236.59301666666664,236.9906869999999,hold
410,236.615,2020-02-20 14:50:00,236.66,236.34,236.34,148503,236.32597000000004,236.58718999999994,236.98376199999993,hold
411,236.595,2020-02-20 14:51:00,236.63,236.53,236.6164,54131,236.36150000000004,236.57902333333328,236.9765919999999,hold
412,236.63,2020-02-20 14:52:00,236.67,236.58,236.6,48656,236.39350000000005,236.56868999999998,236.9697919999999,hold
413,236.69,2020-02-20 14:53:00,236.72,236.61,236.635,74499,236.42650000000003,236.5590233333333,236.96364199999988,hold
414,236.68,2020-02-20 14:54:00,236.7105,236.66,236.69,35881,236.4645,236.5465233333333,236.9560419999999,hold
415,236.6549,2020-02-20 14:55:00,236.71,236.633,236.68,38759,236.50599000000003,236.53501999999995,236.94849099999993,hold
416,236.74,2020-02-20 14:56:00,236.74,236.6492,236.657,35523,236.55899,236.5236866666666,236.94179099999994,hold
417,236.67,2020-02-20 14:57:00,236.76,236.62,236.74,56804,236.59499,236.51035333333328,236.93459199999995,hold
418,236.69,2020-02-20 14:58:00,236.71,236.65,236.67,28052,236.63049,236.49768666666662,236.92759199999992,hold
419,236.675,2020-02-20 14:59:00,236.715,236.65,236.68,28445,236.66399,236.48718666666664,236.9207419999999,hold
420,236.65,2020-02-20 15:00:00,236.74,236.61,236.69,95154,236.66749,236.48985333333331,236.91334199999994,hold
421,236.603,2020-02-20 15:01:00,236.7,236.56,236.65,64109,236.66829,236.4879533333333,236.90547199999995,hold
422,236.58,2020-02-20 15:02:00,236.62,236.546,236.6085,23870,236.66329000000002,236.48395333333332,236.89747199999994,hold
423,236.615,2020-02-20 15:03:00,236.6899,236.57,236.58,51566,236.65579000000002,236.48111999999998,236.88992199999996,hold
424,236.685,2020-02-20 15:04:00,236.72,236.585,236.61,48459,236.65629000000004,236.48095333333333,236.88336499999997,hold
425,236.77,2020-02-20 15:05:00,236.77,236.66,236.68,51895,236.66780000000003,236.48845333333335,236.87816499999997,hold
426,236.87,2020-02-20 15:06:00,236.95,236.78,236.78,154554,236.6808,236.51112000000003,236.87386499999997,hold
427,236.89,2020-02-20 15:07:00,236.915,236.85,236.86,53930,236.70279999999997,236.52912000000003,236.86966499999994,hold
428,236.82,2020-02-20 15:08:00,236.9,236.82,236.9,17531,236.7158,236.5475866666667,236.86476499999992,hold
429,236.7865,2020-02-20 15:09:00,236.85,236.7467,236.82,24316,236.72695,236.5618033333334,236.8595299999999,hold
430,236.8752,2020-02-20 15:10:00,236.9,236.79,236.79,39902,236.74946999999997,236.58097666666671,236.8550819999999,hold
431,236.8751,2020-02-20 15:11:00,236.9,236.85,236.87,21662,236.77668,236.60215666666673,236.8505329999999,hold
432,236.82,2020-02-20 15:12:00,236.87,236.81,236.86,19601,236.80068,236.6191566666667,236.84563299999988,hold
433,236.8379,2020-02-20 15:13:00,236.855,236.81,236.82,18244,236.82297,236.63508666666672,236.84116199999985,hold
434,236.78,2020-02-20 15:14:00,236.8468,236.78,236.835,25372,236.83247,236.6510866666667,236.83636199999987,hold
435,236.74,2020-02-20 15:15:00,236.8154,236.74,236.81,12131,236.82947,236.66775333333337,236.83196199999986,hold
436,236.67,2020-02-20 15:16:00,236.7609,236.66,236.7488,35433,236.80947,236.68308666666672,236.82706199999987,hold
437,236.63,2020-02-20 15:17:00,236.7,236.625,236.66,38733,236.78347000000002,236.69375333333338,236.82216199999988,hold
438,236.695,2020-02-20 15:18:00,236.695,236.61,236.6299,35541,236.77097000000003,236.70575333333335,236.81786199999988,hold
439,236.62,2020-02-20 15:19:00,236.72,236.615,236.7,44181,236.75432,236.71508666666668,236.81296199999986,hold
440,236.55,2020-02-20 15:20:00,236.6399,236.55,236.63,36425,236.72180000000003,236.71292000000003,236.80796199999986,hold
441,236.4763,2020-02-20 15:21:00,236.5599,236.44,236.54,48090,236.68192,236.70896333333337,236.80192499999984,hold
442,236.34,2020-02-20 15:22:00,236.485,236.3,236.48,72456,236.63392,236.6992966666667,236.79479899999984,hold
443,236.38,2020-02-20 15:23:00,236.425,236.33,236.33,35712,236.58813,236.6889633333334,236.78784899999985,hold
444,236.3,2020-02-20 15:24:00,236.39,236.27,236.375,47866,236.54013,236.6762966666667,236.78014899999982,hold
445,236.39,2020-02-20 15:25:00,236.395,236.29,236.2993,58258,236.50513,236.6674666666667,236.7729489999998,hold
446,236.43,2020-02-20 15:26:00,236.4499,236.361,236.4092,41523,236.48112999999998,236.6571333333334,236.7659489999998,hold
447,236.45,2020-02-20 15:27:00,236.47,236.39,236.42,42852,236.46312999999995,236.64980000000006,236.7591489999998,hold
448,236.4066,2020-02-20 15:28:00,236.46,236.39,236.46,29215,236.43428999999992,236.6403533333334,236.7514149999998,hold
449,236.42,2020-02-20 15:29:00,236.44,236.3953,236.42,51939,236.41428999999994,236.6318533333334,236.7437349999998,hold
450,236.35,2020-02-20 15:30:00,236.43,236.35,236.42,49589,236.3942899999999,236.62185333333343,236.73536499999977,hold
451,236.38,2020-02-20 15:31:00,236.42,236.35,236.35,24094,236.38465999999994,236.61442000000008,236.72776499999978,hold
452,236.455,2020-02-20 15:32:00,236.5,236.3791,236.38,66659,236.39615999999992,236.61025333333342,236.72068999999982,hold
453,236.485,2020-02-20 15:33:00,236.51,236.42,236.46,18256,236.40665999999993,236.60592000000008,236.71443999999983,hold
454,236.4675,2020-02-20 15:34:00,236.51,236.43,236.505,35516,236.42340999999993,236.59867000000006,236.70740799999982,hold
455,236.49,2020-02-20 15:35:00,236.51,236.45,236.46,33178,236.43340999999995,236.58933666666672,236.70080799999982,hold
456,236.58,2020-02-20 15:36:00,236.625,236.47,236.5,170382,236.44840999999997,236.57967000000005,236.69535799999983,hold
457,236.47,2020-02-20 15:37:00,236.61,236.47,236.5864,26199,236.45040999999998,236.56567000000004,236.68885799999987,hold
458,236.57,2020-02-20 15:38:00,236.6,236.46,236.46,26669,236.46675,236.5573366666667,236.68355799999986,hold
459,236.7,2020-02-20 15:39:00,236.71,236.5756,236.5756,45904,236.49474999999998,236.55445333333336,236.6795579999999,hold
460,236.711,2020-02-20 15:40:00,236.72,236.67,236.7,21477,236.53084999999996,236.54898000000003,236.6757679999999,hold
